time|run_time|number of errors|number of sites checked|CE|RT|CT|UK|bad
Thu Feb 11 01:52:50 2016|1.15000009537|0|1|0|0|0|0|0|
Thu Feb 11 01:54:51 2016|1.19000005722|0|1|0|0|0|0|0|
Thu Feb 11 01:56:52 2016|1.20399999619|0|1|0|0|0|0|0|
Thu Feb 11 01:58:53 2016|1.01399993896|0|1|0|0|0|0|0|
Thu Feb 11 02:00:54 2016|1.19400000572|0|1|0|0|0|0|0|
Thu Feb 11 02:02:56 2016|1.16400003433|0|1|0|0|0|0|0|
Thu Feb 11 02:04:57 2016|1.16300010681|0|1|0|0|0|0|0|
Thu Feb 11 02:06:58 2016|1.13400006294|0|1|0|0|0|0|0|
Thu Feb 11 02:08:59 2016|1.1819999218|0|1|0|0|0|0|0|
Thu Feb 11 02:11:00 2016|1.19000005722|0|1|0|0|0|0|0|
Thu Feb 11 02:13:02 2016|1.17199993134|0|1|0|0|0|0|0|
Thu Feb 11 02:15:03 2016|1.15400004387|0|1|0|0|0|0|0|
Thu Feb 11 02:17:04 2016|1.11800003052|0|1|0|0|0|0|0|
Thu Feb 11 02:19:05 2016|1.13999986649|0|1|0|0|0|0|0|
Thu Feb 11 02:21:06 2016|1.15899991989|0|1|0|0|0|0|0|
Thu Feb 11 02:23:07 2016|1.17100000381|0|1|0|0|0|0|0|
Thu Feb 11 02:25:09 2016|1.14400005341|0|1|0|0|0|0|0|
Thu Feb 11 02:27:10 2016|1.30099987984|0|1|0|0|0|0|0|
Thu Feb 11 02:29:11 2016|1.23200011253|0|1|0|0|0|0|0|
Thu Feb 11 02:31:12 2016|0.925000190735|0|1|0|0|0|0|0|
Thu Feb 11 02:33:13 2016|1.14600014687|0|1|0|0|0|0|0|
Thu Feb 11 02:35:14 2016|1.16100001335|0|1|0|0|0|0|0|
Thu Feb 11 02:37:16 2016|1.19899988174|0|1|0|0|0|0|0|
Thu Feb 11 02:39:17 2016|1.19400000572|0|1|0|0|0|0|0|
Thu Feb 11 02:41:18 2016|1.19199991226|0|1|0|0|0|0|0|
Thu Feb 11 02:43:19 2016|1.25900006294|0|1|0|0|0|0|0|
Thu Feb 11 02:45:21 2016|1.08800005913|0|1|0|0|0|0|0|
Thu Feb 11 02:47:22 2016|1.42599987984|0|1|0|0|0|0|0|
Thu Feb 11 02:49:23 2016|1.10100007057|0|1|0|0|0|0|0|
Thu Feb 11 02:51:24 2016|1.17700004578|0|1|0|0|0|0|0|
Thu Feb 11 02:53:26 2016|1.17900013924|0|1|0|0|0|0|0|
Thu Feb 11 02:55:27 2016|1.19800019264|0|1|0|0|0|0|0|
Thu Feb 11 02:57:28 2016|1.20000004768|0|1|0|0|0|0|0|
Thu Feb 11 02:59:29 2016|1.17599987984|0|1|0|0|0|0|0|
Thu Feb 11 03:01:30 2016|1.21700000763|0|1|0|0|0|0|0|
Thu Feb 11 03:03:32 2016|1.18799996376|0|1|0|0|0|0|0|
Thu Feb 11 03:05:33 2016|1.1930000782|0|1|0|0|0|0|0|
Thu Feb 11 03:07:34 2016|1.15300011635|0|1|0|0|0|0|0|
Thu Feb 11 03:09:35 2016|1.16399979591|0|1|0|0|0|0|0|
Thu Feb 11 03:11:36 2016|1.16699981689|0|1|0|0|0|0|0|
Thu Feb 11 03:13:38 2016|1.19899988174|0|1|0|0|0|0|0|
Thu Feb 11 03:15:39 2016|1.16000008583|0|1|0|0|0|0|0|
Thu Feb 11 03:17:40 2016|1.19200015068|0|1|0|0|0|0|0|
Thu Feb 11 03:19:41 2016|1.27499985695|0|1|0|0|0|0|0|
Thu Feb 11 03:21:43 2016|1.24300003052|0|1|0|0|0|0|0|
